CharacteristicName,n_sites,n_records
Chlorophyll a,67469,1561467
Chlorophyll a (probe relative fluorescence),4564,1232370
Chlorophyll a (probe),2070,239940
Chlorophyll a - Phytoplankton (suspended),1114,4024
"Chlorophyll a, corrected for pheophytin",71054,856845
"Chlorophyll a, free of pheophytin",3393,89063
"Chlorophyll a, uncorrected for pheophytin",41205,521011
"Depth, Secchi disk depth",126927,2947918
"Depth, Secchi disk depth (choice list)",11661,54227
Non-purgeable Organic Carbon (NPOC),216,4599
Organic carbon,121457,2659246
Secchi Reading Condition (choice list),126,2490
Total carbon,456,23699
Total suspended solids,197240,4002048
"Water transparency, Secchi disc",22,843
