step,reason,short_reason,number_dropped,n_rows,order
chla harmonization,Starting dataset,Start,0,4369754,0
chla harmonization,Filtered for only water media,Water media,0,4369754,1
chla harmonization,Dropped rows containing fail-related language,"Fails, etc.",84224,4285530,2
chla harmonization,Dropped rows while cleaning MDLs,Clean MDLs,7489,4278041,3
chla harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,4278041,4
chla harmonization,Dropped rows while cleaning 'greater than' values,Greater thans,0,4278041,5
chla harmonization,Dropped unresolved NAs,Unresolved NAs,0,4278041,6
chla harmonization,Dropped rows while harmonizing units,Harmonize units,190810,4087231,7
chla harmonization,Dropped rows while cleaning depths,Clean depths,0,4087231,8
chla harmonization,Dropped rows while tiering analytical methods,Analytical methods,66900,4020331,9
chla harmonization,Dropped rows while assigning field flags,Field flagging,0,4020331,10
chla harmonization,Dropped rows while aggregating simultaneous records,Simultaneous records,1117200,2903131,11
