CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,pers_uv_heated_tag,wet_ox_pers_tag,combustion_ir_tag,elemental_tag,carbonaceous_tag,analytical_tier,n
Organic carbon,Total Organic Carbon by Combustion,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,116106
Organic carbon,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,104701
Organic carbon,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,52684
Organic carbon,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,49707
Organic carbon,NA,00681,FALSE,FALSE,FALSE,FALSE,FALSE,2,48299
Organic carbon,analyticDOC_L01N,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,40456
Organic carbon,"DOC, 0.45u silver, persulfate IR",00681,FALSE,FALSE,TRUE,FALSE,FALSE,1,38227
Organic carbon,analyticDOC_102,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,36320
Organic carbon,WET OXIDATION METHOD,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,33575
Organic carbon,"DOC,0.45um cap,acid,persulfateIR",00681,FALSE,TRUE,FALSE,FALSE,FALSE,0,30438
Organic carbon,"DOC, UV/persulfate/IR (USGS-NYL)",00681,TRUE,FALSE,FALSE,FALSE,FALSE,0,29645
Organic carbon,analyticDOC_101,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,29558
Organic carbon,"DOC, UV/persulfate (NYWSC; ALSC)",00681,TRUE,FALSE,FALSE,FALSE,FALSE,0,23866
Organic carbon,UV OR HEATED PERSULFATE OXIDATION,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,22083
Organic carbon,"DOC, wf, 0.45 um cap, combust IR",00681,FALSE,TRUE,FALSE,FALSE,FALSE,0,18799
Organic carbon,"DOC, 0.7um GFF,acid,persulfateIR",00681,FALSE,FALSE,FALSE,FALSE,FALSE,2,16821
Organic carbon,Low Level Total Organic Carbon in Water,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,15611
Organic carbon,"DOC, persulfate oxidation & IR",00681,TRUE,FALSE,FALSE,FALSE,FALSE,0,6560
Organic carbon,SM5310B,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,5285
Organic carbon,"DOC, wf, 0.7 um GFF, combust IR",00681,FALSE,FALSE,TRUE,FALSE,FALSE,1,4179
Organic carbon,SM 5310 B,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,3746
Organic carbon,"DOC, CO2 formation & detection",00681,FALSE,FALSE,TRUE,FALSE,FALSE,1,3659
Organic carbon,C,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,3483
Organic carbon,Unspecified Standard Grab Sample Procedure,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,3119
Organic carbon,Standard Methods Organic Carbon,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,2978
Organic carbon,Organic Carbon in Water,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,2789
Organic carbon,"DOC, EPA method",00681,FALSE,FALSE,FALSE,FALSE,FALSE,2,2406
Organic carbon,"Organic-C, combustion-IR method",00681,FALSE,FALSE,TRUE,FALSE,FALSE,1,2380
Organic carbon,EPA 415.1M,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,2309
Organic carbon,Total Organic Carbon in Water and Waste,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,2205
Non-purgeable Organic Carbon (NPOC),5310 B ~ Total Organic Carbon by Combustion-Infrared Method,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,2013
