step,reason,short_reason,number_dropped,n_rows,order
doc harmonization,Starting dataset,Start,0,2648148,0
doc harmonization,Filtered for only water media & doc fraction,Target water media & doc,302974,2345174,1
doc harmonization,Dropped rows containing fail-related language,"Fails, etc.",58456,2286718,2
doc harmonization,Dropped rows while cleaning MDLs,Clean MDLs,0,2286718,3
doc harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,2286718,4
doc harmonization,Dropped rows while cleaning 'greater than' values,Greater thans,0,2286718,5
doc harmonization,Dropped unresolved NAs,Unresolved NAs,3920,2282798,6
doc harmonization,Dropped rows while harmonizing units,Harmonize units,8230,2274568,7
doc harmonization,Dropped rows while cleaning depths,Clean depths,0,2274568,8
doc harmonization,Dropped rows while tiering analytical methods,Analytical methods,82923,2191645,9
doc harmonization,Dropped rows while assigning field flags,Field flagging,0,2191645,10
doc harmonization,Dropped rows while assigning misc flags,Misc flagging,0,2191645,11
doc harmonization,Dropped rows with unrealistic values,Unrealistic values,19152,2172493,12
doc harmonization,Dropped rows while aggregating simultaneous records,Simultaneous records,333277,1839216,12
