CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,pers_uv_heated_tag,wet_ox_pers_tag,combustion_ir_tag,elemental_tag,carbonaceous_tag,tier,n
Organic carbon,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,488198
Organic carbon,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,209876
Organic carbon,Total Organic Carbon by Combustion,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,209666
Organic carbon,NA,00680,FALSE,FALSE,FALSE,FALSE,FALSE,2,184689
Organic carbon,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,158881
Organic carbon,UV OR HEATED PERSULFATE OXIDATION,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,63685
Organic carbon,Low Level Total Organic Carbon in Water,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,58276
Organic carbon,"TOC, wet oxidation",00680,FALSE,TRUE,FALSE,FALSE,FALSE,0,52595
Organic carbon,NA,00681,FALSE,FALSE,FALSE,FALSE,FALSE,2,48081
Organic carbon,analyticTOC_103N,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,41611
Organic carbon,analyticDOC_L01N,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,40456
Organic carbon,"DOC, 0.45u silver, persulfate IR",00681,FALSE,FALSE,TRUE,FALSE,FALSE,1,38184
Organic carbon,analyticDOC_102,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,36320
Organic carbon,WET OXIDATION METHOD,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,34854
Organic carbon,calcTOC_C01,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,31909
Organic carbon,"DOC,0.45um cap,acid,persulfateIR",00681,FALSE,TRUE,FALSE,FALSE,FALSE,0,30324
Organic carbon,analyticDOC_101,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,29558
Organic carbon,"DOC, UV/persulfate/IR (USGS-NYL)",00681,TRUE,FALSE,FALSE,FALSE,FALSE,0,28338
Organic carbon,C,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,27527
Organic carbon,SM5310B,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1,26479
Organic carbon,N/A Calculation,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,26379
