step,reason,short_reason,number_dropped,n_rows,order
sdd harmonization,Starting dataset,Start,0,2929374,0
sdd harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,2903531,4
sdd harmonization,Dropped rows while aggregating collection equipment,Collection equipment,65551,2702343,10
sdd harmonization,"Dropped rows indicating fails, missing data, etc.","Fails, etc.",25843,2903531,2
sdd harmonization,Dropped rows while filtering fraction types,Fraction types,95930,2801452,8
sdd harmonization,Dropped rows while cleaning 'greater than' values,Greater thans,0,2903531,5
sdd harmonization,Dropped rows while harmonizing units,Harmonize units,3434,2900097,6
sdd harmonization,Dropped rows while cleaning MDLs,Clean MDLs,0,2903531,3
sdd harmonization,Filtered for only water media,Water media,0,2929374,1
sdd harmonization,Dropped rows while aggregating analytical methods,Analytical methods,2715,2897382,7
sdd harmonization,Dropped rows while aggregating sample methods,Sample methods,33558,2767894,9
