CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,time_tag,scope_tag,approx_flag,tier,n
"Depth, Secchi disk depth",NA,NA,0,1,0,1,542648
"Depth, Secchi disk depth",NA,NA,1,1,0,2,403445
"Depth, Secchi disk depth","Field measurement/observation, generic method",NA,1,1,0,2,337618
"Depth, Secchi disk depth","Field measurement/observation, generic method",NA,0,1,0,1,332823
"Depth, Secchi disk depth",NA,NA,2,1,0,2,258156
"Depth, Secchi disk depth",FDEP FT1700,NA,0,1,0,1,138549
"Depth, Secchi disk depth",eventSecchi,NA,0,1,0,1,80192
"Depth, Secchi disk depth",FDEP FT1700,NA,1,1,0,2,76542
"Depth, Secchi disk depth",eventSecchi,NA,1,1,0,2,59115
"Depth, Secchi disk depth",eventSecchi,NA,2,1,0,2,55990
"Depth, Secchi disk depth",20 CM SECCHI DEPTH,NA,0,1,0,1,53523
"Depth, Secchi disk depth",20 CM SECCHI DEPTH,NA,1,1,0,2,43228
"Depth, Secchi disk depth",Field Measurement of Light Penetration (Secchi Depth and Transparency),NA,0,1,0,1,30664
"Depth, Secchi disk depth",NA,00078,0,1,0,1,28620
"Depth, Secchi disk depth","Depth, Secchi disk in meters",NA,2,1,0,2,28373
"Depth, Secchi disk depth",Field Measurement of Light Penetration (SECCHI Depth and Transparency),NA,0,1,0,1,24791
"Depth, Secchi disk depth","Tyler, John. 1968. The secchi disk, Limnology and Oceanograpy, 13(1):1-6.",NA,0,1,0,1,23259
"Depth, Secchi disk depth",NA,00078,1,1,0,2,20664
"Depth, Secchi disk depth","Seechi depth, field",NA,0,1,0,1,16673
"Depth, Secchi disk depth",Field Measurements performed by Utah DWQ,NA,0,1,0,1,15730
"Depth, Secchi disk depth","Tyler, John. 1968. The secchi disk, Limnology and Oceanograpy, 13(1):1-6.",NA,1,1,0,2,13816
"Depth, Secchi disk depth",EPA/620/R-01/003 Secchi Depth,NA,1,1,0,2,13717
"Depth, Secchi disk depth",Field Measurement of Light Penetration (Secchi Depth and Transparency),NA,1,1,0,2,13424
"Depth, Secchi disk depth",NA,00077,0,1,0,1,12941
"Depth, Secchi disk depth",FIELD MEASUREMENT OF LIGHT PENETRATION (SECCHI DEPTH AND TRANSPERENCY),NA,0,1,0,1,12734
"Depth, Secchi disk depth",Field Measurements performed by Utah DWQ,NA,1,1,0,2,11365
"Depth, Secchi disk depth","Seechi depth, field",NA,1,1,0,2,10320
"Depth, Secchi disk depth",NA,00077,1,1,0,2,9305
"Depth, Secchi disk depth",EPA/620/R-01/003 Secchi Depth,NA,0,1,0,1,9252
"Depth, Secchi disk depth","Depth, Secchi disk depth",NA,0,1,0,1,9193
"Depth, Secchi disk depth",MEASURED IN FIELD,NA,0,1,0,1,8956
"Depth, Secchi disk depth",WSSSOP,NA,0,1,0,1,8323
"Depth, Secchi disk depth",Field Measurement of Light Penetration (SECCHI Depth and Transparency),NA,1,1,0,2,6928
"Depth, Secchi disk depth",Secchi disk,NA,0,1,0,1,6596
"Depth, Secchi disk depth",SFWMD FSQM,NA,0,1,0,1,6563
"Depth, Secchi disk depth",Secchi,NA,0,1,0,1,6382
"Depth, Secchi disk depth",Secchi,NA,1,1,0,2,6107
"Depth, Secchi disk depth",Secchi disk method,49701,0,1,0,1,5942
"Depth, Secchi disk depth",SECCHI DEPTH,NA,0,1,0,1,5938
"Depth, Secchi disk depth",Determination of Secchi Disk Transparency,NA,0,1,0,1,5487
"Depth, Secchi disk depth",Secchi disk method,00077,1,1,0,2,5143
"Depth, Secchi disk depth",FIELD MEASUREMENT OF LIGHT PENETRATION (SECCHI DEPTH AND TRANSPERENCY),NA,1,1,0,2,5045
"Depth, Secchi disk depth",Measurements/readings obtained in the field,NA,0,1,0,1,5030
"Depth, Secchi disk depth",Field measurement of Light Penetration (Secchi Depth and Transparency),NA,0,1,0,1,4815
"Depth, Secchi disk depth","Depth, Secchi disk depth",NA,1,1,0,2,4772
"Depth, Secchi disk depth",Secchi Disk Depth,NA,0,1,0,1,4669
"Depth, Secchi disk depth",General Field Test,NA,1,1,0,2,4641
"Depth, Secchi disk depth",Field Measurements performed by Utah DWQ,NA,2,1,0,2,4614
"Depth, Secchi disk depth",Secchi Disk Depth,NA,2,1,0,2,4547
"Depth, Secchi disk depth",Secchi in m,NA,0,1,0,1,4209
"Depth, Secchi disk depth",Secchi disk method,00077,0,1,0,1,3889
"Depth, Secchi disk depth",General Listing of Field and Lab Analytical Procedures for Manatee County,NA,0,1,0,1,3820
"Depth, Secchi disk depth",Field Measurements and Observations,NA,0,1,0,1,3726
"Depth, Secchi disk depth",Secchi Disk Depth,NA,1,1,0,2,3444
"Depth, Secchi disk depth",MEASURED IN FIELD,NA,1,1,0,2,3409
"Depth, Secchi disk depth",FIELD MEASUREMENT OF LIGHT PENETRATION (SECCHI DEPTH AND TRANSPARENCY),NA,0,1,0,1,3283
"Depth, Secchi disk depth",Secchi Depth,NA,0,1,0,1,3031
"Depth, Secchi disk depth",Secchi disk method,00078,0,1,0,1,2846
"Depth, Secchi disk depth",Secchi disk depth,NA,0,1,0,1,2676
"Depth, Secchi disk depth",Field measurement of Light Penetration (Secchi Depth and Transparency),NA,1,1,0,2,2571
"Depth, Secchi disk depth",FIELD,NA,0,1,0,1,2550
"Depth, Secchi disk depth",OWRB Lakes Field Data Collection,NA,0,1,0,1,2546
"Depth, Secchi disk depth",Light Penetration,NA,2,1,0,2,2533
"Depth, Secchi disk depth",SFWMD FSQM,NA,1,1,0,2,2502
"Depth, Secchi disk depth",SFWMD-FSM,NA,0,1,0,1,2485
"Depth, Secchi disk depth",Secchi disk method,49701,1,1,0,2,2465
"Depth, Secchi disk depth",In Situ Profile,NA,1,1,0,2,2336
"Depth, Secchi disk depth",NA,49701,0,1,0,1,2244
"Depth, Secchi disk depth",SECCHI DEPTH,NA,1,1,0,2,2145
"Depth, Secchi disk depth",ISU Secchi Method,NA,1,1,0,2,2036
"Depth, Secchi disk depth",Secchi transparency,NA,1,1,0,2,1952
"Depth, Secchi disk depth",Secchi Disk-20 cm,NA,0,1,0,1,1912
"Depth, Secchi disk depth",General Field Test,NA,0,1,0,1,1763
"Depth, Secchi disk depth",General Listing of Field and Lab Analytical Procedures for Manatee County,NA,2,1,0,2,1708
"Depth, Secchi disk depth",Lake Trafford,NA,2,1,0,2,1685
"Depth, Secchi disk depth",SECCHI DISK TRANSPARENCY,NA,0,1,0,1,1682
