step,reason,short_reason,number_dropped,n_rows,order
tss harmonization,Starting dataset,Start,0,5795086,0
tss harmonization,Filtered for only specific water media,Target water media,4246,5790840,1
tss harmonization,Dropped rows containing fail-related language,"Fails, etc.",59936,5730904,2
tss harmonization,Dropped rows while cleaning MDLs,Clean MDLs,0,5730904,3
tss harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,5730904,4
tss harmonization,Dropped rows while cleaning 'greater than' values,Greater thans,0,5730904,5
tss harmonization,Dropped unresolved NAs,Unresolved NAs,21797,5709107,6
tss harmonization,Dropped rows while harmonizing units,Harmonize units,829012,4880095,7
tss harmonization,Dropped rows while cleaning depths,Clean depths,0,4880095,8
tss harmonization,Dropped rows while tiering analytical methods,Analytical methods,5038,4875057,9
tss harmonization,Dropped rows while assigning field flags,Field flagging,0,4875057,10
tss harmonization,Dropped rows while assigning misc flags,Misc flagging,0,4875057,11
tss harmonization,Dropped rows with unrealistic values,Unrealistic values,25163,4849894,12
tss harmonization,Dropped rows while aggregating simultaneous records,Simultaneous records,296952,4552942,13
