CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,pump_tag,low_flow_tag,na_tag,common_tag,tier,n
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,0,0,0,1,0,782760
Total suspended solids,Non-Filterable Residue - TSS,NA,0,0,0,0,0,626464
Suspended Sediment Concentration (SSC),NA,80154,0,0,1,1,2,608227
Total suspended solids,NA,NA,0,0,1,0,2,459876
Total suspended solids,NA,00530,0,0,1,1,2,237658
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,0,0,0,1,1,229912
Total suspended solids,Residue by Evaporation and Gravimetric,NA,0,0,0,0,0,188461
Suspended Sediment Concentration (SSC),Sediment conc by filtration,80154,0,0,0,1,0,138987
Suspended Sediment Concentration (SSC),Sediment conc from size analysis,80154,0,0,0,1,0,100675
Total suspended solids,Non-Filterable Residue - TSS,NA,0,0,0,0,1,87496
Total suspended solids,analyticTSS_101,NA,1,0,0,0,2,86072
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,1,0,0,1,2,78742
Total suspended solids,"Sus solids, wat, 105C,wt (NWQL)",00530,0,0,1,1,2,62984
Total suspended solids,analyticTSS_GRAVIMETRIC; DRIED AT 103-105 C,NA,1,0,0,0,2,60653
Suspended Sediment Concentration (SSC),Sediment conc by filtration,80154,0,0,1,1,2,53070
Suspended Sediment Concentration (SSC),Sediment conc by evaporation,80154,0,0,0,1,0,50437
Total suspended solids,Non-Filterable Residue - TSS,NA,1,0,0,0,2,41775
Total suspended solids,Residue by Evaporation and Gravimetric,NA,1,0,0,0,2,39076
Total suspended solids,160.2 M ~ Total Suspended Solids,NA,0,0,0,1,1,36740
Total suspended solids,160.2 M ~ Total Suspended Solids,NA,0,0,0,1,0,36716
Total suspended solids,SM2540D,NA,0,0,0,1,0,34361
Total suspended solids,Not Available,NA,0,0,1,0,2,30687
Total suspended solids,"Sus solids, wat, 105C,wt (NWQL)",00530,0,0,0,1,0,30315
Total suspended solids,Residue by Evaporation and Gravimetric,NA,0,0,0,0,1,29376
Total suspended solids,160.2,NA,0,0,0,1,0,29026
Total suspended solids,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",NA,0,0,0,0,0,28803
Total suspended solids,N/A Calculation,NA,0,0,1,0,2,25961
Total suspended solids,SM 2540D,NA,0,0,0,1,0,23234
Total suspended solids,EPA 160.4,NA,0,0,0,1,1,22200
Total suspended solids,Residue,NA,0,0,0,0,0,21917
Total suspended solids,analyticTSS_GRAVIMETRIC; DRIED AT 103-105 C,NA,0,0,0,0,0,20806
Total suspended solids,SM 2540 D,NA,0,0,0,1,1,20066
Total suspended solids,Unkn Lab Proc,NA,0,0,1,0,2,19335
Suspended Sediment Concentration (SSC),2540 E ~ Fixed and Volatile Solids in Water,NA,0,0,0,1,2,19261
Total suspended solids,UNKNOWN,NA,0,0,1,0,2,16956
Total suspended solids,analyticTSS_101,NA,0,0,0,0,0,16631
Suspended Sediment Concentration (SSC),Sediment conc by evaporation,80154,0,0,1,1,2,16600
Total suspended solids,NA,70299,0,0,1,1,2,16126
Suspended Sediment Concentration (SSC),Sediment conc from size analysis,80154,0,0,1,1,2,15479
Suspended Sediment Concentration (SSC),Sediment conc by filtration,80154,0,0,0,1,1,15424
Total suspended solids,UNKOWN,NA,0,0,1,0,2,15237
Total suspended solids,Total Suspended Solids in Water,NA,0,0,0,0,0,14202
Total suspended solids,Historic,NA,0,0,1,0,2,14029
Total suspended solids,"Solids, residue at 105°C",NA,0,0,0,0,0,13985
Suspended Sediment Concentration (SSC),NA,80154,1,0,1,1,2,13712
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,0,0,1,1,2,11994
Total suspended solids,Historic Procedure,NA,0,0,1,0,2,11932
Suspended Sediment Concentration (SSC),Gravimetric Filtration Method; Dried At 90-105,NA,0,0,0,0,2,10684
Total suspended solids,Volatile Residue,NA,0,0,0,0,0,10514
Total suspended solids,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",NA,0,0,0,0,1,9541
Suspended Sediment Concentration (SSC),Sediment conc from size analysis,80154,0,0,0,1,1,9427
Total suspended solids,LEGACY,NA,0,0,1,0,2,9283
Total suspended solids,Total Suspended Solids,NA,0,0,0,0,0,9069
Total suspended solids,EPA 160.2,NA,0,0,0,1,1,9043
Total suspended solids,SM2540D,NA,0,0,0,1,1,8692
Total suspended solids,Analytical method not available,NA,0,0,1,0,2,8616
Suspended Sediment Concentration (SSC),Sediment conc by evaporation,80154,0,0,0,1,1,8502
Total suspended solids,"Residue, NF,105C (SM2540D/DODEC)",00530,0,0,0,1,0,8348
Suspended Sediment Concentration (SSC),Suspended-Sediment in Water,NA,0,0,0,0,2,8329
Suspended Sediment Concentration (SSC),2540 D ~ Total Suspended Solids in Water,NA,0,0,0,1,2,8317
Total suspended solids,160.2 M ~ Total Suspended Solids,NA,1,0,0,1,2,8095
Total suspended solids,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",NA,1,0,0,0,2,7730
Total suspended solids,2540 E ~ Fixed and Volatile Solids in Water,NA,0,0,0,1,0,6461
Total suspended solids,209 C ~ Residue Non- filterable (TSS) ,NA,0,0,0,0,0,6335
Suspended Sediment Concentration (SSC),Sediments,NA,0,0,0,0,2,5777
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,0,1,0,1,2,5420
Total suspended solids,2540 C ~ Total Dissolved Solids in Water,NA,0,0,0,1,0,5081
Total suspended solids,General Listing of Field and Lab Analytical Procedures for Manatee County,NA,0,0,0,0,0,4786
Total suspended solids,Analytical procedure not specified,NA,0,0,1,0,2,4315
Total suspended solids,Standard Methods for the Examination of Water and Wastewater,NA,0,0,0,0,0,4109
Total suspended solids,Standard Methods for the Examination of Water and Wastewater,NA,0,0,0,0,1,4037
Suspended Sediment Concentration (SSC),Sediment conc by filtration,80154,1,0,0,1,0,3989
Total suspended solids,Standard Methods for the Examination of Water and Wastewater,NA,0,0,1,0,2,3832
Suspended Sediment Concentration (SSC),ASTM D3977,NA,0,0,0,1,2,3770
Total suspended solids,Total Suspended Solids (TSS),NA,1,0,0,0,2,3422
Total suspended solids,"Suspended solids, 105C,grav (PA)",00530,0,0,1,1,2,3191
Total suspended solids,"TSS, 105C (SM 2540D; WI WSC)",00530,0,0,0,1,0,3080
Total suspended solids,QA Plan #900456,NA,0,0,0,0,1,3054
Total suspended solids,EPA 160.2,NA,0,0,0,1,0,2929
Total suspended solids,Residue by Evaporation and Gravimetric,NA,0,1,0,0,2,2833
Total suspended solids,"TSS, dried 103-105C (I-3765-85)",00530,0,0,0,1,0,2697
