analytical_method,analytical_method_grouping
5310 B ~ Total Organic Carbon by Combustion-Infrared Method,
NA,unclear
Total Organic Carbon by Combustion,
5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,
analyticPARTICULATE CARBON (inorg+organic),
UV OR HEATED PERSULFATE OXIDATION,
Low Level Total Organic Carbon in Water,
analyticPC_104,
"TOC, wet oxidation",
analyticTOC_103N,
analyticDOC_101,
analyticDOC_102,
analyticDOC_L01N,
"DOC, 0.45u silver, persulfate IR",
5310 B ~ Total Organic Carbon by High-Temperature Combustion Method,
WET OXIDATION METHOD,
calcTOC_C01,
"DOC, UV/persulfate/IR (USGS-NYL)",
Miscellaneous Calculations for Nutrients,unclear
440 W  ~ Determination of Carbon and Nitrogen,
"DOC,0.45um cap,acid,persulfateIR",
"SOC, 0.45u silver, wet oxidation",
"DOC, UV/persulfate (NYWSC; ALSC)",
SM5310B,
C,
"POC, calculated",
N/A Calculation,unclear
"DOC, 0.7um GFF,acid,persulfateIR",
"Organic-C, combustion-IR method",
415.2,
Used for all methods where historical methodology may not be available.,unclear
See QA Plan for this Project,
"TOC, high-temp combustion (NWQL)",
5310 D ~ Total Organic Carbon in Water- Wet-Oxidation Method,
EPA 415.1,
Organic Carbon in Water,
"TOC, EPA method",
Total Organic Carbon in Water and Waste,
SM 5310 B,
415,
LEGACY,
Volatile Halogenated Organics,
"DOC, persulfate oxidation & IR",
Dissolved Organic Carbon by Teledyne-Tekmar Phoenix 8000 TOC Analyzer,
Analytical method not available,
QA Plan #900456,
EPA 415.1M,
"DOC, wf, 0.45 um cap, combust IR",
calcTOC_101,
calcPC_C01,
9060 A ~ Total Organic Carbon in water and wastes by Carbonaceous Analyzer,
analyticTOC_L03N,
SM5310C,
SM 5310 C,
L01,
Standard Methods Organic Carbon,
"DOC, EPA method",
Unkn Lab Proc,
"TOC, combustion (SM5310B,COWSC)",
Historic Procedure,
analyticPC_101,
Shimadzu TOC 5000 NPOC mode,
Unknown,
Elemental Analysis Isotope Ratio Mass Spectometry,
Computation by NWIS algorithm,
"CARBON, DISSOLVED ORGANIC (MG/L AS C)",
"TOC, combustion (DODEC)",
"TOC, wu, persulfate (SM5310C;CO)",
"TOC, persulfate oxid (5310C; PA)",
R10PORTLANDHARBOR Method,
Dissolved Organic Carbon by Dohrmann DC-80,
Carbon in Water,
Laboratory Procedures for Water Quality Chemical Analysis,
TOTAL ORGANIC CARBON IN WATER,
Dissolved Organic Carbon in Water by Persulfate Oxidation and Infrared Spectrometry,
"DOC, wf, 0.7 um GFF, combust IR",
"DOC, CO2 formation & detection",
TOTAL ORGANIC CARBON (TOC) PERSULFATE-ULTRAVIOLET,
Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,
"TOC, combustion & CO2 detection",
L02,
UNKNOWN,unclear
415.1,
"DRBC-QAPP, EPA APPROVED",
SW846,
Lake Trafford,
Total Organic Carbon,
"DOC, persulfate oxid, IR (COWSC)",
"DOC, combustion, NDIR (SM5310B)",
UNKOWN,unclear
"TOC, persulfate-UV oxid (NYSDEC)",
DATABASE CALCULATED TOC - METHOD 2 - 1/2 MDL,
DATABASE CALCULATED TOC - METHOD 2 - MDL,
LAKE COUNTY QUALITY SYSTEMS MANUAL,
Dissolved organic carbon by Teledyne-Tekmar Phoenix 8000 TOC Analyzer,
DISSOLVED CARBON ANALYSIS,
