n,collection_equipment,equipment_grouping,note
397517,Bucket,,
380093,Water Bottle,,
319119,Unknown,,
310244,Miscellaneous (Other),,
301545,Pump/Submersible,,
135906,Water Sampler (Other),,
62982,WSWB,,
48633,Van Dorn Bottle,,
42910,Weighted-bottle sampler,,
37863,Kemmerer Bottle,,
28072,WSOTH,,
23774,Grab sample,,
23281,US DH-81 with Teflon cap and nozzle,,
16064,WSVD,,
15016,US DH-81,,
14248,Open-Mouth Bottle,,
9209,"Sampler, point, automatic",,
9003,Niskin Bottle,,
7319,Other,,
7307,US D-96 bag sampler,,
6576,US DH-95 Teflon bottle,,
6511,US WBH-96 weighted-bottle sampler,,
6211,NA,,
5856,US D-77 TM,,
5673,Pump/Rotary,,
4736,Vinyl Tube,,
4235,US D-95 Teflon bottle,,
3769,Probe/Sensor,,
3213,MSOTH,,
3069,Van Dorn sampler,,
2928,Peristaltic pump,,
2828,US DH-95 plastic bottle,,
2136,WSBK,,
2096,Pump/Bailer,,
2094,"Sampler, US D-77",,
2022,USGS collection method tributary samples,,
2005,Kemmerer bottle,,
1863,Pump/Non-Submersible,,
1846,WSPB,,
1651,WSKM,,
1393,"Sampler, frame-type, plastic bottle w/Teflon collaps. bag",,
1391,US D-99 Bag Sampler,,
1036,US DH-2 Bag Sampler,,
939,US D-95 plastic bottle,,
873,US D-96-A1 Bag Sampler,,
823,"Sampler, frame-type, Teflon bottle",,
797,DH-81,,
681,US D-77 TM modified Teflon bag sampler,,
555,US DH-76 TM with Teflon gasket and nozzle,,
542,Phytoplankton-water bottle,,
449,Mulitple samplers used,,
428,None,,
416,Wide mouth glass jar,,
252,Double-valve bailer,,
237,US DH-48 TM,,
209,US DH-76 TM,,
193,"Sampler, US DH-76",,
192,"Sampler, US DH-48",,
192,Suction pump,,
186,Van Veen Grab,,
178,"Sampler, US DH-59",,
171,Pump/Peristaltic,,
134,"Sampler, US D-74",,
130,US D-74 TM,,
126,Rosette Sampler,,
110,Submersible positive-pressure pump,,
102,Thief sampler,,
100,US DH-59 TM with Teflon gasket and nozzle,,
84,"Sampler, US D-74AL",,
73,Open-top bailer,,
70,Pump/Air Lift,,
55,Ponar Grab,,
55,US DH-48 TM with Teflon gasket and nozzle,,
52,US D-74 AL-TM with Teflon gasket and nozzle,,
36,Submersible centrifugal pump,,
34,Submersible helical rotor pump,,
28,Pump/Bladder,,
26,Push core,,
25,"Sampler, US DH-75Q",,
24,Sewage sample,,
24,US D-74 AL-TM,,
23,US DH-59 TM,,
21,Semipermeable Membrane Device,,
18,"Sampler, US P-63",,
17,"Sampler, frame-type, plastic bottle",,
14,"Sampler, US DH-75P",,
10,Gravity core,,
9,US P-61,,
9,VOC hand sampler,,
8,Benthic Grab (Other),,
8,Line-shaft turbine pump,,
7,"Sampler, D-77 TM, with Reynolds Oven Collapsible Bag",,
7,"Sampler, frame-type, plastic bottle with Reynolds Oven Bag",,
6,"Sampler, US P-61-A1",,
5,Submersible gear pump,,
4,Jet pump,,
4,Seabird CTD profiler,,
3,"Sampler, US CS-77",,
3,US P-61 AL-TM,,
3,Vibrating Corer,,
2,BCHC,,
2,"Bedload-Toutle River type 1, 6 x 6, area ratio 3.22",,
2,Gas lift,,
2,Periphyton-natural substrate,,
2,Petite Ponar Grab,,
2,"Sampler, US D-49AL",,
2,US P-61 TM,,
1,"BL-3X3 in, H-S, 50-100 lb, Exp. Ratio 3.22, Cable Susp",,
1,"Sampler, US PS-69TM",,
1,"Sampler, US U-59",,
1,Secchi Disk,,
1,Velocity integrated sample,,
