collection_equipment,equipment_grouping
NA,standard
Unknown,standard
Miscellaneous (Other),standard
Probe/Sensor,standard
Secchi Disk,standard
Water Bottle,unlikely
Water Sampler (Other),standard
Visual Sighting,standard
MSVS,standard
Van Dorn Bottle,unlikely
Van Dorn sampler,unlikely
Peristaltic pump,unlikely
Weighted-bottle sampler,unlikely
Kemmerer bottle,unlikely
Bucket,unlikely
WSWB,standard
Vinyl Tube,unlikely
WSOTH,standard
Suction pump,unlikely
Grab sample,unlikely
Kemmerer Bottle,unlikely
Pump/Rotary,unlikely
"Sampler, US DH-59",unlikely
US D-99 Bag Sampler,unlikely
US D-96 bag sampler,unlikely
Other,standard
Open-top bailer,unlikely
Open-Mouth Bottle,unlikely
None,standard
US DH-81 with Teflon cap and nozzle,unlikely
US DH-95 Teflon bottle,unlikely
Mulitple samplers used,unlikely
"Sampler, frame-type, Teflon bottle",unlikely
Pump/Submersible,unlikely
WSVD,unlikely
"Sampler, US D-77",unlikely
Plankton Net,unlikely
Thief sampler,unlikely
US WBH-96 weighted-bottle sampler,unlikely
US P-61,unlikely
WSKM,unlikely
US DH-81,unlikely
"Sampler, US DH-48",unlikely
Niskin Bottle,unlikely
US D-96-A1 Bag Sampler,unlikely
Horizontal Secchi Disk,standard
"Sampler, US P-61-A1",unlikely
Semipermeable Membrane Device,unlikely
US DH-48 TM with Teflon gasket and nozzle,unlikely
Double-valve bailer,unlikely
US DH-95 plastic bottle,unlikely
"Sampler, frame-type, plastic bottle w/Teflon collaps. bag",unlikely
US D-77 TM modified Teflon bag sampler,unlikely
"Sampler, US P-46",unlikely
US D-95 Teflon bottle,unlikely
Hester-Dendy,unlikely
"Sampler, US PS-69TM",unlikely
Submersible positive-pressure pump,unlikely
US D-77 TM,unlikely
