sample_method,sample_method_grouping
NA,standard
USEPA,standard
fieldSampling observation,standard
Intermediate,unclear
USGS,standard
Field Testing- Discrete,standard
Secchi Disk,standard
Water Grab Sampling,unclear
GRAB,unclear
Grab Sample,unclear
Plate,standard
SAMPLING SOP,standard
Sample-collection method not available,standard
Unknown,standard
SOP,standard
LEGACY,unclear
Standard South Dakota equipment,standard
DMF_p100,unclear
Grab,unclear
Collecting Water Quality Samples,standard
SP-001,standard
Field Observation,standard
SAMPLING PROCEDURES FOR VOLUNTEER LAKE ASSESSMENT PROGRAM,standard
WPMP Lake Sampling SOP,standard
SP-02,unclear
Boat Station Collections,standard
Project Sampling Plan,standard
Point sample,standard
Probe/Sensor,standard
SOP-1,standard
BVR SWQAPP,standard
SOP FOR MEASURING SECCHI DISK TRANSPARENCY,standard
IL_EPA,standard
SURFACE WATER GRAB SAMPLE,unclear
Standard Grab Sampler,unclear
Rosette,unlikely
REALTIME,unclear
ISU Lake Sample Collection Procedure,standard
Standard Operation Procedure,standard
Northeast Temperate Network Surface Water Grab Sample (Gloved Hand),unclear
FDL QAPP,standard
Grab Water Quality Samples,unclear
Collier County Field Measurements,standard
Routine Sample,standard
Standard Sample Collection Method for PTI ITS,standard
Sample Collection for Wild Rice data,standard
Sample-Routine,standard
Standard sampling method,standard
Water Grab Sample,unclear
Single vertical,standard
"THE COLLECTION OF REPRESENTATIVE WATER COLUMN SAMPLES FROM LAKES, PONDS, RESERVOIRS, AND OTHER IMPOUNDMENTS.",standard
Equal width increment (ewi),unclear
water sample collection,unclear
Grab sample  (dip),unclear
Sandia Field Collection Measurements,standard
GRAB-1,unclear
Hydrolab DataSonde 3,unlikely
TCEQ Method,unlikely
Field Msr/Obs,standard
in situ,standard
COMPOSITE,standard
UNH LAY LAKES MONITORING PROGRAM SAMPLING PROCEDURES,standard
Inland Lakes Water Quality Monitoring Protocol,standard
GRAB SAMPLE,unclear
Prairie Island QAPP,standard
Secchi Depth Measurement Using a Secchi Disk,standard
Standard Bay Mills SCP Method,standard
Fish Tissue Sample,unlikely
Water Quality Grab Sample,unclear
Multiple verticals,standard
Water quality grab sampling,unclear
Water quality measurements,standard
Peristaltic pump,unlikely
Surface,unclear
Van Dorn sampler,unlikely
Turtle Mountain Sample Operating Procedure,standard
AWM-SOP,standard
Land Collections Directly from Water Source,unclear
AZDEQ Standard Operating Procedures,standard
WPMP Estuary Sampling SOPng,standard
AMBIENT AND VRAP SAMPLING PROCEDURES,standard
SP-Water,standard
COLLECT1,unclear
Weighted bottle,unlikely
SAMPLE PROCEDURES FOR CONDUCTING LAKES ASSESSMENTS,standard
DEP-SOP-001/01 FS2100,standard
HISTORIC,standard
Water column sampling,unclear
Manual,unclear
CENTER FOR FRESHWATER BIOLOGY STANDARD OPERATING PROCEDURES,standard
R10BUNKER,unclear
Composite - Multiple point samples,standard
Direct Field Measurements using Intrumentation,standard
Hand Cast Probe recording both up and down,standard
Lake Campbell Standard Operating Procedures,standard
Thief sample,unlikely
Standard Sample Collection Method (SCM),standard
Secchi Disk Depth,standard
WATER SAMPLE,unclear
St Croix Quality Assurance Project Plan,standard
"Grab sample.  Submerge and fill a water sampling vessel, or sample directly into the sample bottle provided by the an...",unclear
NALMS Dip In Secchi Disk,standard
Other,standard
"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",standard
Equal discharge increment (edi),unlikely
CN_SCP,standard
ROUTINE,standard
Water Sample Collection Procedure,unclear
Un-Done,unclear
FDEP SOP Surface Water Sample,unclear
Historic Hawaii Sample Collection methods for legacy STORET,standard
Routine,standard
LG402,unclear
Sample Method Unknown,unclear
Suction pump,unlikely
Sample Collection Method,unclear
Suction lift peristaltic pump,unlikely
Standard South Dakora equipment,standard
Secchi disk,standard
SMFY04QAPP,standard
SP-01,unclear
SuspSed; Pumping - stream sample using a pumping mechanism,unlikely
ONEIDA_WQX~ON_SCP,unclear
Side Whinch,standard
Field,standard
STANDARD,standard
NEWFOUND,unclear
GRAB001,unclear
OK Corp Comm QAPP,standard
Horizontal Black Disks,unclear
Chemistry - Sample,unlikely
Double-valve bailer,unlikely
Multi Probe Sonde,unlikely
Oneida SWQM Quality Assurance Project Plan,standard
visualsighting,standard
Field Measurement,standard
SAMPLER,unclear
Hydrolab Digital 4041,unlikely
Standard UHL Sampling Procedure - Grab Samples,unclear
Submersible pump,unlikely
"10 or more equal width verticals, equal non-iso transit rate limited by velocity",unlikely
Open-top bailer,unlikely
DES COMPOSITE,standard
SECCHI,standard
BMIC_SCP,unclear
Composite Sample Collection,unclear
None Specified,standard
UNH COMPOSITE,standard
